ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: login, Resource: employee_db, Status: success, IP: 71.47.248.197)
ALERT: New IP access (71.47.248.197) for user user_7 at 2025-11-15 20:58:40 - verify identity. (Action: login, Resource: employee_db, Status: success, IP: 71.47.248.197)
ALERT: New IP access (155.74.186.26) for user user_13 at 2025-11-15 20:58:57 - verify identity. (Action: login, Resource: config.yaml, Status: failed, IP: 155.74.186.26)
ALERT: Suspicious hour (21:00) activity for user user_13 at 2025-11-15 21:01:22. (Action: view_page, Resource: public_page, Status: success, IP: 49.193.44.91)
ALERT: New IP access (49.193.44.91) for user user_13 at 2025-11-15 21:01:22 - verify identity. (Action: view_page, Resource: public_page, Status: success, IP: 49.193.44.91)
ALERT: Suspicious hour (21:00) activity for user user_3 at 2025-11-15 21:02:47. (Action: download_file, Resource: admin_panel, Status: success, IP: 97.81.227.53)
ALERT: New IP access (97.81.227.53) for user user_3 at 2025-11-15 21:02:47 - verify identity. (Action: download_file, Resource: admin_panel, Status: success, IP: 97.81.227.53)
ALERT: Suspicious hour (21:00) activity for user user_2 at 2025-11-15 21:04:50. (Action: update_record, Resource: admin_panel, Status: failed, IP: 43.21.76.166)
ALERT: High-risk action 'update_record' on sensitive resource 'admin_panel' by user user_2 at 2025-11-15 21:04:50. (Action: update_record, Resource: admin_panel, Status: failed, IP: 43.21.76.166)
ALERT: New IP access (43.21.76.166) for user user_2 at 2025-11-15 21:04:50 - verify identity. (Action: update_record, Resource: admin_panel, Status: failed, IP: 43.21.76.166)
ALERT: Suspicious hour (21:00) activity for user user_9 at 2025-11-15 21:08:40. (Action: download_file, Resource: public_page, Status: failed, IP: 141.228.38.83)
ALERT: New IP access (141.228.38.83) for user user_9 at 2025-11-15 21:08:40 - verify identity. (Action: download_file, Resource: public_page, Status: failed, IP: 141.228.38.83)
ALERT: Suspicious hour (21:00) activity for user user_7 at 2025-11-15 21:10:49. (Action: view_page, Resource: admin_panel, Status: failed, IP: 96.147.128.113)
ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: view_page, Resource: admin_panel, Status: failed, IP: 96.147.128.113)
ALERT: New IP access (96.147.128.113) for user user_7 at 2025-11-15 21:10:49 - verify identity. (Action: view_page, Resource: admin_panel, Status: failed, IP: 96.147.128.113)
ALERT: Suspicious hour (21:00) activity for user user_7 at 2025-11-15 21:11:03. (Action: logout, Resource: public_page, Status: success, IP: 103.192.119.129)
ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: logout, Resource: public_page, Status: success, IP: 103.192.119.129)
ALERT: New IP access (103.192.119.129) for user user_7 at 2025-11-15 21:11:03 - verify identity. (Action: logout, Resource: public_page, Status: success, IP: 103.192.119.129)
ALERT: Suspicious hour (21:00) activity for user user_11 at 2025-11-15 21:11:14. (Action: login, Resource: dashboard, Status: failed, IP: 225.244.34.116)
ALERT: New IP access (225.244.34.116) for user user_11 at 2025-11-15 21:11:14 - verify identity. (Action: login, Resource: dashboard, Status: failed, IP: 225.244.34.116)
ALERT: Suspicious hour (21:00) activity for user user_12 at 2025-11-15 21:12:40. (Action: delete_record, Resource: employee_db, Status: failed, IP: 156.58.119.203)
ALERT: New IP access (156.58.119.203) for user user_12 at 2025-11-15 21:12:40 - verify identity. (Action: delete_record, Resource: employee_db, Status: failed, IP: 156.58.119.203)
ALERT: Suspicious hour (21:00) activity for user user_5 at 2025-11-15 21:14:15. (Action: view_page, Resource: employee_db, Status: success, IP: 212.51.13.130)
ALERT: Unusually high activity (41 events) for user user_5. (Action: view_page, Resource: employee_db, Status: success, IP: 212.51.13.130)
ALERT: High delete actions (7) for user user_5 - potential data loss risk. (Action: view_page, Resource: employee_db, Status: success, IP: 212.51.13.130)
ALERT: New IP access (212.51.13.130) for user user_5 at 2025-11-15 21:14:15 - verify identity. (Action: view_page, Resource: employee_db, Status: success, IP: 212.51.13.130)
ALERT: Suspicious hour (21:00) activity for user user_14 at 2025-11-15 21:18:35. (Action: login, Resource: admin_panel, Status: success, IP: 136.66.106.33)
ALERT: New IP access (136.66.106.33) for user user_14 at 2025-11-15 21:18:35 - verify identity. (Action: login, Resource: admin_panel, Status: success, IP: 136.66.106.33)
